Date,Max_Temp(F),Avg_Temp(F),Min_Temp(F),Max_Wind(mph),Avg_Wind(mph),Min_Wind(mph),Precipitation (in)
1/1/2021,35,31.9,26,25,13.1,5,0
1/2/2021,36,33.4,30,12,7.5,0,0.24
1/3/2021,34,31.9,27,10,6,0,0.05
1/4/2021,30,27.4,25,14,8.5,6,0
1/5/2021,36,32.7,29,9,5.8,0,0
1/6/2021,40,34.5,29,9,4.8,0,0
1/7/2021,38,37,35,15,10.8,5,0
1/8/2021,36,34.2,31,20,12.8,7,0
1/9/2021,38,32.3,27,13,7.4,3,0
1/10/2021,31,28.4,25,10,5.6,0,0
1/11/2021,30,26.3,22,16,13,7,0
1/12/2021,39,31,26,15,10.5,6,0
1/13/2021,41,36.7,32,13,9.3,5,0
1/14/2021,41,36.7,33,17,10.3,6,0
1/15/2021,37,34.4,29,12,7.4,3,0.13
1/16/2021,37,33.7,29,13,8.6,5,0.02
1/17/2021,34,30.7,29,10,7.9,6,0.03
1/18/2021,30,27.7,25,15,10.1,6,0.02
1/19/2021,33,28.4,21,22,12.6,6,0
1/20/2021,35,24.1,15,21,13.8,6,0.01
1/21/2021,42,35.6,31,28,15.5,9,0
1/22/2021,29,18.8,13,21,11.3,3,0
1/23/2021,31,22.5,12,12,6.5,0,0
1/24/2021,34,30.9,28,12,7.3,5,0
1/25/2021,34,31.9,31,23,15.6,5,0
1/26/2021,33,30.8,26,20,15.3,9,0.1
1/27/2021,28,24.6,16,15,11.3,7,0.03
1/28/2021,25,18.6,12,13,6.5,0,0
1/29/2021,32,26.4,19,14,6.7,0,0
1/30/2021,34,31,29,25,17.5,10,0
1/31/2021,33,31.3,29,21,15.9,10,0.14
2/1/2021,33,29.1,23,17,11.8,7,0.05
2/2/2021,33,27.8,21,14,10,6,0
2/3/2021,35,26.6,17,9,6,0,0
2/4/2021,39,32.2,19,30,16.7,8,0
2/5/2021,17,13.5,9,26,21,12,0.23
2/6/2021,14,9.1,4,17,11.3,8,0
2/7/2021,6,0.5,-6,14,8.4,0,0
2/8/2021,15,10.8,2,12,3,0,0
2/9/2021,18,10.1,3,12,7.4,0,0.04
2/10/2021,17,13.5,7,15,9.8,5,0
2/11/2021,24,16.8,5,16,10.7,0,0
2/12/2021,20,13.8,9,14,11.1,8,0
2/13/2021,14,8.4,0,16,11.4,8,0
2/14/2021,5,1.3,-3,18,11.9,8,0
2/15/2021,18,8,1,18,14.2,9,0
2/16/2021,21,13,8,16,11.4,5,0.09
2/17/2021,24,16,7,10,4.5,0,0
2/18/2021,25,20.4,17,8,3.7,0,0
2/19/2021,20,15.9,8,15,9.8,6,0
2/20/2021,29,17.8,5,9,5.6,0,0
2/21/2021,38,30.4,19,18,11.9,5,0
